NCT Number,Start Date,Completion Date
NCT05209204,2019-04-01,2020-01-01
NCT01319604,2011-03-01,2012-05-01
NCT02870504,2016-07-01,2017-12-01
NCT04673604,2018-05-01,2020-06-01
NCT01342406,2010-09-01,2013-11-01
NCT01460017,2011-11-01,2013-12-01
NCT03289806,2016-01-01,2018-01-01
NCT02247804,2014-12-01,2019-07-01
NCT03133117,2017-02-01,2018-05-01
NCT00751127,1993-01-01,1994-02-01
NCT04595227,2020-10-01,2021-10-01
NCT01493427,2011-12-01,2013-02-01
NCT01722604,2012-01-01,2012-09-01
NCT05973305,2017-04-01,2018-09-01
NCT05466526,2022-07-01,2023-06-01
NCT00486252,2007-06-01,2008-01-01
NCT02471105,2015-09-01,2017-12-01
NCT01987752,2009-01-01,2011-11-01
NCT01252849,2010-12-01,2019-10-01
NCT00709449,2008-05-01,2009-03-01
NCT02627352,2014-02-01,2017-08-01
NCT00853905,2009-02-01,2012-01-01
NCT01444105,2011-09-01,2019-04-01
NCT06078605,2022-09-01,2024-06-01
NCT00451152,2007-03-01,2009-07-01
NCT04455126,2018-04-01,2020-06-01
NCT03318705,2018-02-01,2018-03-01
NCT01462526,2011-03-01,2016-03-01
NCT02789293,2016-05-01,2019-10-01
NCT00047593,2000-01-01,2004-07-01
NCT01527682,2009-07-01,2016-11-01
NCT04417920,2017-07-01,2020-05-01
NCT03850782,2019-02-01,2025-08-01
NCT02526693,2014-06-01,2015-08-01
NCT04302220,2019-06-01,2023-06-01
NCT01067482,2009-09-01,2010-03-01
NCT05576493,2022-08-01,2023-12-01
NCT05654493,2023-12-01,2024-12-01
NCT00824720,2008-12-01,2009-04-01
NCT02639975,2015-12-01,2016-06-01
NCT04421859,2020-01-01,2022-06-01
NCT03587454,2016-08-01,2019-09-01
NCT01923454,2005-12-01,2007-06-01
NCT04563559,2020-11-01,2021-11-01
NCT03758859,2019-04-01,2019-10-01
NCT03751059,2020-11-01,2021-12-01
NCT00332059,2003-05-01,2004-09-01
NCT04868175,2019-10-01,2021-04-01
NCT05548959,2021-08-01,2022-07-01
NCT04215575,2014-01-01,2016-12-01
NCT03639675,2018-10-01,2019-03-01
NCT05992415,2024-07-01,2029-06-01
NCT06066645,2023-09-01,2025-11-01
NCT03365245,2015-08-01,2016-11-01
NCT05752045,2023-06-01,2024-03-01
NCT05451745,2011-01-01,2032-01-01
NCT02539745,2013-07-01,2015-03-01
NCT03967145,2019-05-01,2020-03-01
NCT02710916,2016-02-01,2018-12-01
NCT02084745,2014-05-01,2025-03-01
NCT00280345,2006-02-01,2009-05-01
NCT00308945,2003-11-01,2005-02-01
NCT04401982,2021-03-01,2022-02-01
NCT04296916,2020-04-01,2024-10-01
NCT00727168,2007-11-01,2008-02-01
NCT04354545,2021-04-01,2024-06-01
NCT05405868,2023-11-01,2026-11-01
NCT04635020,2020-10-01,2033-09-01
NCT00141882,1999-03-01,2006-08-01
NCT02835482,2016-04-01,2017-11-01
NCT04542616,2020-08-01,2025-08-01
NCT01053416,1993-01-01,2003-12-01
NCT04629521,2020-12-01,2023-04-01
NCT06078592,2021-10-01,2022-12-01
NCT05251792,2021-11-01,2024-12-01
NCT01020721,2008-09-01,2010-09-01
NCT00454025,2007-01-01,2011-05-01
NCT00527592,2007-05-01,2008-08-01
NCT03352492,2018-01-01,2021-02-01
NCT05557721,2023-10-01,2025-12-01
NCT01510392,2012-01-01,2017-02-01
NCT03104621,2013-03-01,2015-09-01
NCT02207621,2014-07-01,2016-03-01
NCT03766425,2017-06-01,2019-07-01
NCT00772330,2007-10-01,2017-01-01
NCT04465630,2020-06-01,2021-03-01
NCT05052242,2020-05-01,2021-09-01
NCT02822742,2016-07-01,2017-04-01
NCT00342342,2002-12-01,2020-04-01
NCT01794442,2013-01-01,2015-12-01
NCT02512042,2015-04-01,2016-05-01
NCT03373942,2014-08-01,2015-08-01
NCT01287442,2009-01-01,2010-12-01
NCT00346489,2004-09-01,2007-08-01
NCT00846989,2009-01-01,2009-04-01
NCT01936389,2013-09-01,2014-10-01
NCT05543889,2022-10-01,2023-09-01
NCT00061542,2003-01-01,2006-11-01
NCT01042665,2006-02-01,2009-12-01
NCT06000865,2023-10-01,2025-01-01
NCT02023242,2012-10-01,2018-01-01
NCT00934089,2010-01-01,2010-06-01
NCT00468988,2007-05-01,2007-07-01
NCT04863365,2021-11-01,2023-11-01
NCT05876689,2023-10-01,2024-12-01
NCT03800589,2010-12-01,2017-12-01
NCT00775489,2010-01-01,2010-07-01
NCT00567788,2006-07-01,2008-07-01
NCT01443988,2011-09-01,2017-04-01
NCT05241938,2021-09-01,2022-12-01
NCT01417689,2011-08-01,2012-03-01
NCT04700189,2020-12-01,2022-09-01
NCT04900142,2020-03-01,2022-06-01
NCT05162989,2021-11-01,2021-12-01
NCT00311389,2003-01-01,2004-09-01
NCT01956942,2013-08-01,2017-07-01
NCT01222065,2007-08-01,2011-03-01
NCT00444665,2007-05-01,2007-08-01
NCT04651530,2020-12-01,2026-12-01
NCT04129021,2019-07-01,2023-06-01
NCT05283031,2021-03-01,2022-09-01
NCT00405431,2004-03-01,2007-11-01
NCT00051142,2001-02-01,2004-06-01
NCT02613442,2017-04-01,2017-04-01
NCT05316142,2023-12-01,2024-12-01
NCT00956865,2002-09-01,2002-09-01
NCT04052165,2015-07-01,2020-08-01
NCT01687465,2012-11-01,2018-03-01
NCT03595865,2018-08-01,2020-06-01
NCT03609125,2018-03-01,2018-11-01
NCT04380025,2020-05-01,2021-05-01
NCT03293992,2017-10-01,2017-12-01
NCT04515030,2020-08-01,2022-10-01
NCT05113121,2021-08-01,2022-02-01
NCT04645992,2020-11-01,2021-02-01
NCT02047630,2014-01-01,2014-12-01
NCT01484392,2006-08-01,2013-12-01
NCT06120621,2023-01-01,2023-10-01
NCT04079725,2020-12-01,2022-03-01
NCT03611530,2017-09-01,2021-02-01
NCT04054830,2019-08-01,2023-07-01
NCT00326092,2006-05-01,2006-08-01
NCT04323930,2021-06-01,2023-12-01
NCT03870230,2017-12-01,2023-03-01
NCT00000125,1994-02-01,2019-06-01
NCT04896125,2019-10-01,2022-08-01
NCT03959592,2019-08-01,2021-11-01
NCT00741130,2008-07-01,2009-01-01
NCT04297930,2017-12-01,2019-12-01
NCT01749930,2013-01-01,2015-05-01
NCT03894631,2019-03-01,2024-01-01
NCT00406042,2005-09-01,2006-06-01
NCT00273442,2005-11-01,2007-04-01
NCT02785042,2016-06-01,2023-07-01
NCT04141865,2019-10-01,2022-02-01
NCT02598765,2016-03-01,2019-03-01
NCT04967989,2021-09-01,2027-08-01
NCT01105065,2010-03-01,2012-09-01
NCT03188042,2017-12-01,2022-10-01
NCT04460365,2017-10-01,2020-09-01
NCT00766389,2008-10-01,2009-02-01
NCT04702789,2021-10-01,2023-11-01
NCT02805231,2013-07-01,2015-03-01
NCT03966365,2019-05-01,2019-08-01
NCT05949242,2023-04-01,2024-10-01
NCT00347789,1997-05-01,2006-06-01
NCT02165631,2014-08-01,2016-03-01
NCT01864642,2013-07-01,2014-06-01
NCT05332665,2022-01-01,2022-12-01
NCT00576342,2007-12-01,2008-01-01
NCT02959242,2006-01-01,2026-12-01
NCT00638742,2008-05-01,2009-03-01
NCT02366065,2015-01-01,2016-05-01
NCT03928665,2012-10-01,2027-10-01
NCT06124521,2023-11-01,2026-11-01
NCT03187821,2012-09-01,2015-01-01
NCT06154330,2023-11-01,2023-12-01
NCT03394521,2015-10-01,2016-08-01
NCT00765921,2008-06-01,2016-09-01
NCT00838721,2008-03-01,2010-03-01
NCT04145830,2019-09-01,2020-11-01
NCT01409421,2011-04-01,2013-01-01
NCT06112431,2024-09-01,2029-09-01
NCT04918121,2021-07-01,2024-12-01
NCT05686421,2023-03-01,2023-04-01
NCT02901730,2016-09-01,2017-12-01
NCT04157530,2018-03-01,2019-11-01
NCT05235321,2022-11-01,2024-04-01
NCT00303121,2005-11-01,2006-06-01
NCT01228721,2009-01-01,2010-12-01
NCT03077789,2013-04-01,2023-04-01
NCT02599688,2015-11-01,2016-06-01
NCT00224289,2005-03-01,2009-04-01
NCT03494465,2019-05-01,2021-03-01
NCT04683289,2015-01-01,2020-09-01
NCT02928289,2017-01-01,2019-01-01
NCT01446588,2012-06-01,2012-12-01
NCT00573638,2005-02-01,2009-12-01
NCT03689088,2018-05-01,2018-09-01
NCT03323138,2012-07-01,2018-12-01
NCT01308788,2011-03-01,2012-10-01
NCT01906138,2013-07-01,2014-07-01
NCT04651231,2012-01-01,2014-10-01
NCT00346931,2004-12-01,2007-06-01
NCT01836042,2013-07-01,2014-04-01
NCT00758342,2006-05-01,2008-03-01
NCT06120842,2023-10-01,2027-06-01
NCT03268031,2017-08-01,2020-02-01
NCT00541242,2007-12-01,2008-08-01
NCT00716742,2004-09-01,2009-09-01
NCT03506542,2014-06-01,2017-03-01
NCT02014142,2013-12-01,2016-12-01
NCT02524431,2014-11-01,2016-01-01
NCT00384631,2006-04-01,2007-03-01
NCT03109665,2017-03-01,2017-11-01
NCT02108288,2014-04-01,2014-08-01
NCT03338088,2017-09-01,2017-12-01
NCT02862938,2016-06-01,2024-12-01
NCT01628588,2010-03-01,2010-12-01
NCT01410188,2011-09-01,2012-10-01
NCT01704989,2012-10-01,2015-12-01
NCT02014389,2013-12-01,2025-12-01
NCT00476138,2006-11-01,2008-07-01
NCT02162043,2014-11-01,2017-10-01
NCT01426867,2011-09-01,2011-11-01
NCT04406467,2017-11-01,2020-08-01
NCT01216943,2010-11-01,2012-08-01
NCT05041543,2021-03-01,2021-06-01
NCT02143843,2014-06-01,2016-01-01
NCT00300443,2005-12-01,2007-06-01
NCT04648943,2013-07-01,2016-11-01
NCT00707421,2005-07-01,2009-05-01
NCT00287521,2005-11-01,2006-02-01
NCT05156021,2021-12-01,2022-12-01
NCT00273221,2005-07-01,2006-07-01
NCT03715231,2019-06-01,2021-05-01
NCT01514721,2012-06-01,2013-11-01
NCT05328921,2022-04-01,2022-09-01
NCT01943721,2013-10-01,2014-06-01
NCT01769521,2012-10-01,2013-04-01
NCT02558712,2016-03-01,2017-09-01
NCT05906212,2023-05-01,2024-06-01
NCT01136473,2011-07-01,2014-09-01
NCT02874846,2016-07-01,2016-09-01
NCT00918346,2005-09-01,2006-04-01
NCT01525173,2012-01-01,2012-10-01
NCT04334473,2019-09-01,2020-04-01
NCT02129673,2014-05-01,2017-08-01
NCT01481077,2011-11-01,2012-09-01
NCT04632329,2020-10-01,2021-08-01
NCT03958929,2023-10-01,2024-01-01
NCT03648229,2019-09-01,2024-06-01
NCT02785029,2016-06-01,2023-07-01
NCT02614651,2016-05-01,2017-05-01
NCT02250612,2014-10-01,2016-01-01
NCT02822612,2016-05-01,2016-10-01
NCT04590651,2020-09-01,2023-12-01
NCT02474238,2015-05-01,2018-08-01
NCT00650338,2008-03-01,2008-10-01
NCT06144138,2024-05-01,2025-11-01
NCT00485238,2007-02-01,2008-12-01
NCT02623738,2015-12-01,2017-02-01
NCT02757677,2015-12-01,2019-12-01
NCT03466177,2018-03-01,2025-12-01
NCT05924477,2023-07-01,2027-12-01
NCT03933631,2019-05-01,2025-12-01
NCT03362931,2018-07-01,2022-03-01
NCT03921931,2018-11-01,2023-05-01
NCT01247831,2010-11-01,2011-08-01
NCT01026831,2010-01-01,2010-09-01
NCT02077231,2011-09-01,2013-09-01
NCT01669031,2012-08-01,2013-05-01
NCT05043831,2021-10-01,2023-04-01
NCT01540331,2009-06-01,2012-01-01
NCT05530031,2022-09-01,2023-06-01
NCT04426331,2017-05-01,2019-01-01
NCT05273385,2022-10-01,2024-12-01
NCT05035394,2021-09-01,2027-09-01
NCT02151318,2014-12-01,2016-08-01
NCT05104294,2020-02-01,2020-08-01
NCT01511094,2009-06-01,2012-01-01
NCT04234932,2020-01-01,2021-01-01
NCT01510132,2012-01-01,2012-01-01
NCT04562402,2020-08-01,2022-02-01
NCT01488032,2011-03-01,2011-11-01
NCT00773877,2008-10-01,2008-12-01
NCT06061718,2023-09-01,2025-07-01
NCT00152932,2005-05-01,2006-06-01
NCT05955118,2023-04-01,2024-04-01
NCT05543018,2022-09-01,2023-10-01
NCT02300818,2014-11-01,2016-12-01
NCT00767494,2008-10-01,2009-02-01
NCT04010994,2019-08-01,2020-12-01
NCT05973318,2017-04-01,2018-09-01
NCT05704777,2023-02-01,2024-12-01
NCT02226094,2013-11-01,2015-12-01
NCT00868894,2009-03-01,2010-06-01
NCT03235232,2021-02-01,2023-12-01
NCT05697094,2023-11-01,2024-12-01
NCT04064918,2021-12-01,2023-01-01
NCT05159960,2022-01-01,2025-11-01
NCT04536129,2019-11-01,2020-03-01
NCT05730478,2023-03-01,2024-01-01
NCT00557232,2006-11-01,2011-11-01
NCT00832832,2009-01-01,2011-01-01
NCT03417453,2019-04-01,2020-01-01
NCT02697318,2016-05-01,2018-01-01
NCT05264818,2022-05-01,2025-05-01
NCT01115218,2009-10-01,2012-03-01
NCT02325518,2014-12-01,2015-12-01
NCT00821002,2009-01-01,2009-11-01
NCT05913232,2023-08-01,2025-12-01
NCT01175902,2011-03-01,2014-10-01
NCT03187418,2017-06-01,2020-02-01
NCT00650702,2008-03-01,2009-02-01
NCT02868502,2016-09-01,2017-08-01
NCT01855802,2013-04-01,2013-10-01
NCT00811694,2006-10-01,2012-05-01
NCT02209961,2014-03-01,2016-06-01
NCT01737853,2011-02-01,2012-06-01
NCT05439161,2023-11-01,2025-12-01
NCT00448929,2007-01-01,2011-10-01
NCT00468429,2007-05-01,2007-12-01
NCT01767753,2012-11-01,2014-07-01
NCT01494753,2008-06-01,2008-12-01
NCT02388360,2013-05-01,2016-11-01
NCT00404729,2005-02-01,2006-07-01
NCT03021629,2013-07-01,2016-12-01
NCT00279253,2004-03-01,2005-01-01
NCT01682460,2012-08-01,2013-04-01
NCT04769453,2021-04-01,2023-01-01
NCT00913029,2009-05-01,2012-09-01
NCT00887029,2009-01-01,2009-11-01
NCT00481494,2007-05-01,2007-10-01
NCT01798732,2011-08-01,2014-11-01
NCT03150160,2017-09-01,2017-12-01
NCT04957329,2021-09-01,2026-12-01
NCT05371977,2022-05-01,2029-05-01
NCT01310777,2011-05-01,2013-01-01
NCT00967694,2009-08-01,2011-10-01
NCT03151577,2015-01-01,2023-05-01
NCT00906594,2007-09-01,2008-07-01
NCT00196677,2005-09-01,2008-10-01
NCT02656394,2016-01-01,2018-12-01
NCT03106532,2017-03-01,2018-05-01
NCT04318132,2020-01-01,2021-12-01
NCT01166594,2010-06-01,2013-12-01
NCT03402802,2019-09-01,2021-08-01
NCT01632423,2010-02-01,2010-11-01
NCT02628223,2014-09-01,2017-12-01
NCT04448223,2020-06-01,2022-12-01
NCT05563623,2022-08-01,2030-12-01
NCT03798223,2019-01-01,2025-05-01
NCT05726058,2023-03-01,2024-04-01
NCT00834223,2009-01-01,2010-05-01
NCT04943458,2021-09-01,2022-10-01
NCT00945958,2010-11-01,2012-06-01
NCT02862158,2016-08-01,2022-11-01
NCT05625958,2023-03-01,2026-06-01
NCT01471158,2010-09-01,2011-05-01
NCT00314158,2005-11-01,2007-01-01
NCT04254458,2018-03-01,2019-09-01
NCT03605823,2017-11-01,2019-11-01
NCT04000828,2019-05-01,2020-04-01
NCT05943184,2021-01-01,2023-12-01
NCT03138928,2015-01-01,2017-03-01
NCT00047528,2001-01-01,2003-11-01
NCT01301378,2010-08-01,2011-01-01
NCT05940623,2023-08-01,2025-12-01
NCT00524758,2007-07-01,2011-10-01
NCT06012058,2023-08-01,2025-02-01
NCT05557058,2022-09-01,2025-04-01
NCT00773123,2008-10-01,2008-12-01
NCT03391518,2017-02-01,2018-01-01
NCT04949802,2020-09-01,2021-12-01
NCT02945202,2017-01-01,2018-02-01
NCT01746602,2011-07-01,2015-01-01
NCT03483402,2016-12-01,2018-04-01
NCT00863018,2003-08-01,2009-01-01
NCT04396002,2019-06-01,2024-05-01
NCT02731118,2016-04-01,2020-12-01
NCT03927118,2018-02-01,2019-01-01
NCT01731002,2012-11-01,2013-05-01
NCT01272102,2010-11-01,2011-03-01
NCT03525132,2015-09-01,2020-09-01
NCT01461278,2011-12-01,2020-03-01
NCT03216902,2017-07-01,2018-02-01
NCT01229202,2008-07-01,2012-06-01
NCT01806402,2013-02-01,2013-08-01
NCT01987323,2013-01-01,2013-06-01
NCT00350428,2001-10-01,2007-10-01
NCT05449041,2023-01-01,2023-05-01
NCT02665884,2016-02-01,2017-02-01
NCT02700984,2016-03-01,2018-04-01
NCT04737928,2018-04-01,2019-01-01
NCT00869141,2009-03-01,2013-03-01
NCT03194828,2017-05-01,2018-07-01
NCT03604328,2018-07-01,2020-06-01
NCT00346541,2005-07-01,2006-06-01
NCT02604953,2014-07-01,2015-07-01
NCT01292460,2011-02-01,2012-09-01
NCT02982629,2013-03-01,2013-11-01
NCT00273429,2005-04-01,2005-12-01
NCT00680329,2008-05-01,2009-07-01
NCT05451329,2022-07-01,2022-12-01
NCT03145129,2017-03-01,2018-02-01
NCT05446077,2020-12-01,2021-03-01
NCT00193960,1997-01-01,2005-06-01
NCT01347229,2011-04-01,2012-04-01
NCT01217853,2010-08-01,2011-08-01
NCT03886753,2019-05-01,2020-06-01
NCT02822729,2016-07-01,2017-11-01
NCT03450629,2018-09-01,2020-12-01
NCT04352660,2016-05-01,2019-04-01
NCT01136460,2006-05-01,2020-05-01
NCT00061529,2003-01-01,2004-07-01
NCT00351429,2005-10-01,2006-05-01
NCT01517477,2012-01-01,2019-10-01
NCT01711177,2012-10-01,2013-03-01
NCT00799994,2004-10-01,2007-01-01
NCT05180994,2022-05-01,2028-03-01
NCT02228577,2014-08-01,2014-10-01
NCT00832377,2009-04-01,2010-03-01
NCT02090777,2014-05-01,2015-04-01
NCT02246777,2014-02-01,2016-10-01
NCT02141594,2013-08-01,2014-03-01
NCT00051194,2002-09-01,2003-07-01
NCT05206877,2022-04-01,2024-12-01
NCT00690794,2008-07-01,2009-05-01
NCT02356094,2015-01-01,2015-04-01
NCT00798694,2008-11-01,2011-02-01
NCT06071494,2023-10-01,2025-05-01
NCT03858894,2019-01-01,2019-06-01
NCT04647929,2020-12-01,2023-06-01
NCT00317577,1998-12-01,2004-05-01
NCT00551902,2007-09-01,2010-03-01
NCT05925894,2021-03-01,2022-01-01
NCT04433702,2020-10-01,2020-12-01
NCT00330577,2006-04-01,2007-07-01
NCT04141891,2019-12-01,2023-08-01
NCT01568008,2011-10-01,2012-09-01
NCT04242108,2019-01-01,2022-03-01
NCT02419508,2015-08-01,2018-02-01
NCT00143208,2003-05-01,2006-04-01
NCT00430209,2006-12-01,2013-12-01
NCT05790408,2020-08-01,2022-01-01
NCT00485108,2007-01-01,2014-12-01
NCT03560609,2018-11-01,2024-07-01
NCT00481208,2006-03-01,2006-11-01
NCT00901108,2009-11-01,2015-10-01
NCT02379208,2015-04-01,2020-05-01
NCT05626491,2023-02-01,2024-12-01
NCT03631108,2018-10-01,2019-06-01
NCT04271709,2019-09-01,2024-09-01
NCT02207491,2014-07-01,2015-03-01
NCT01217606,2011-01-01,2015-06-01
NCT03387306,2010-01-01,2017-04-01
NCT01125306,2009-06-01,2012-10-01
NCT05999006,2023-10-01,2025-10-01
NCT00652106,2003-06-01,2004-03-01
NCT05695027,2023-03-01,2028-01-01
NCT02017327,2013-12-01,2016-07-01
NCT00803504,2006-11-01,2007-08-01
NCT04440527,2020-07-01,2024-07-01
NCT05022004,2021-12-01,2023-01-01
NCT01297517,2011-02-01,2012-03-01
NCT03931317,2018-12-01,2023-03-01
NCT05566626,2022-10-01,2023-12-01
NCT04676126,2021-05-01,2022-05-01
NCT02867527,2014-01-01,2029-01-01
NCT01749904,2013-01-01,2015-09-01
NCT00538304,2007-11-01,2008-05-01
NCT00069706,2003-07-01,2003-10-01
NCT01254604,2011-12-01,2013-05-01
NCT01346904,2011-05-01,2012-12-01
NCT06135727,2023-11-01,2025-12-01
NCT00372827,2004-02-01,2006-01-01
NCT05111106,2016-10-01,2018-12-01
NCT01927406,2014-06-01,2016-12-01
NCT00706927,2006-01-01,2010-09-01
NCT04890106,2021-10-01,2022-08-01
NCT05042609,2021-09-01,2023-06-01
NCT04857827,2021-09-01,2022-08-01
NCT04920227,2020-09-01,2023-08-01
NCT01253109,2010-09-01,2011-11-01
NCT01915706,2013-09-01,2017-09-01
NCT02526706,2015-08-01,2016-10-01
NCT04773106,2020-02-01,2023-02-01
NCT03445806,2018-02-01,2021-03-01
NCT05527106,2015-03-01,2022-05-01
NCT02628327,2015-06-01,2016-06-01
NCT01255306,2010-04-01,2011-12-01
NCT02776449,2016-02-01,2016-06-01
NCT00140049,2005-07-01,2006-07-01
NCT03750149,2018-01-01,2021-01-01
NCT02742649,2016-04-01,2016-12-01
NCT04178863,2018-07-01,2019-12-01
NCT00744705,2008-09-01,2008-12-01
NCT03691649,2018-09-01,2020-09-01
NCT03014349,2016-01-01,2016-11-01
NCT02990663,2016-12-01,2023-12-01
NCT06054763,2023-10-01,2024-12-01
NCT01452009,2011-11-01,2011-12-01
NCT00338208,2003-10-01,2011-12-01
NCT03233308,2017-10-01,2018-04-01
NCT04610008,2020-12-01,2021-01-01
NCT05539508,2022-10-01,2027-07-01
NCT05564091,2022-09-01,2024-03-01
NCT01564108,2012-05-01,2014-06-01
NCT05115708,2021-11-01,2024-11-01
NCT01719809,2012-10-01,2015-06-01
NCT01188291,2007-09-01,2009-01-01
NCT01262209,2011-05-01,2015-08-01
NCT01227291,2010-10-01,2012-09-01
NCT04495491,2020-07-01,2021-03-01
NCT04630808,2020-11-01,2025-09-01
NCT01291108,2011-04-01,2011-10-01
NCT02828891,2016-07-01,2018-12-01
NCT02765308,2013-08-01,2016-12-01
NCT00966108,2009-08-01,2010-01-01
NCT01881126,2013-06-01,2014-10-01
NCT04622605,2017-06-01,2021-12-01
NCT02988752,2016-10-01,2017-11-01
NCT05690152,2023-01-01,2025-12-01
NCT01687426,2012-09-01,2012-12-01
NCT04342052,2011-01-01,2024-12-01
NCT05626426,2023-02-01,2024-12-01
NCT03965052,2019-04-01,2019-08-01
NCT02531152,2015-09-01,2016-04-01
NCT05231252,2021-06-01,2022-01-01
NCT02622191,2012-11-01,2013-12-01
NCT01020071,2009-04-01,2010-04-01
NCT02121171,2010-09-01,2015-09-01
NCT00076271,2004-01-01,2008-10-01
NCT01051739,2010-07-01,2015-09-01
NCT01284439,2011-01-01,2012-02-01
NCT02612571,2015-07-01,2016-07-01
NCT00867971,2009-02-01,2010-10-01
NCT01461291,2012-01-01,2018-10-01
NCT05236439,2022-05-01,2026-03-01
NCT03529591,2018-06-01,2021-05-01
NCT05583591,2022-10-01,2025-10-01
NCT00347191,2006-01-01,2006-06-01
NCT01064505,2010-02-01,2013-04-01
NCT05160805,2022-05-01,2024-10-01
NCT01300949,2010-01-01,2014-04-01
NCT04161963,2019-03-01,2021-12-01
NCT00230763,2005-09-01,2007-10-01
NCT01384149,2011-09-01,2012-01-01
NCT04761705,2021-03-01,2023-07-01
NCT02653963,2014-09-01,2016-12-01
NCT01802463,2013-01-01,2014-01-01
NCT03318549,2018-10-01,2023-12-01
NCT02972749,2016-11-01,2017-12-01
NCT05044793,2021-09-01,2023-12-01
NCT06030193,2024-05-01,2025-03-01
NCT01281020,2009-05-01,2011-07-01
NCT01297920,2011-03-01,2012-06-01
NCT04024293,2023-11-01,2024-03-01
NCT02006693,2013-12-01,2017-01-01
NCT03478293,2018-02-01,2020-12-01
NCT00772993,2008-10-01,2008-12-01
NCT04245163,2021-06-01,2021-09-01
NCT01931904,2014-02-01,2026-05-01
NCT00108017,2005-04-01,2006-07-01
NCT01774227,2013-05-01,2020-01-01
NCT04075227,2015-10-01,2019-03-01
NCT02873806,2013-03-01,2019-11-01
NCT05352906,2022-04-01,2023-01-01
NCT00761709,2009-07-01,2009-10-01
NCT02624427,2015-12-01,2016-11-01
NCT05315206,2022-01-01,2024-04-01
NCT00047606,2002-08-01,2003-11-01
NCT01965106,2013-12-01,2015-07-01
NCT02914509,2016-11-01,2019-03-01
NCT04035239,2019-07-01,2022-03-01
NCT05801471,2022-05-01,2025-11-01
NCT05902871,2023-06-01,2024-12-01
NCT01493271,2011-12-01,2012-11-01
NCT01087671,2010-04-01,2010-10-01
NCT01062971,2006-02-01,2008-06-01
NCT02730871,2016-06-01,2018-07-01
NCT02003391,2013-12-01,2015-05-01
NCT04747808,2021-01-01,2021-02-01
NCT01925391,2013-01-01,2014-05-01
NCT01191008,2010-10-01,2015-05-01
NCT00687791,2007-12-01,2008-12-01
NCT02179008,2014-06-01,2015-01-01
NCT00596791,2008-01-01,2008-08-01
NCT02658071,2016-03-01,2018-09-01
NCT04037917,2020-12-01,2023-07-01
NCT03558126,2013-03-01,2016-10-01
NCT00972426,2009-10-01,2010-08-01
NCT02801617,2015-09-01,2017-07-01
NCT00382226,2006-09-01,2007-08-01
NCT05159817,2021-12-01,2024-12-01
NCT01319617,2011-01-01,2011-11-01
NCT00878917,2009-04-01,2010-02-01
NCT00707226,2000-11-01,2001-12-01
NCT02914626,2016-10-01,2018-10-01
NCT00347126,2006-04-01,2008-04-01
NCT00262626,1995-02-01,1995-06-01
NCT02891317,2017-05-01,2017-06-01
NCT03567226,2018-06-01,2018-11-01
NCT05973617,2022-12-01,2023-06-01
NCT04515017,2020-09-01,2021-08-01
NCT01864317,2015-11-01,2015-12-01
NCT03612817,2017-01-01,2018-07-01
NCT00691717,2008-06-01,2009-09-01
NCT01027039,2008-06-01,2009-09-01
NCT04719871,2020-10-01,2021-11-01
NCT01330979,2011-05-01,2012-08-01
NCT04005079,2019-06-01,2021-01-01
